group,group_slug,authors,year,title,venue,doi,arxiv,status,landing_url,download_url,target_path,file_name,abstract_summary,why_it_matters,crossrefs,priority
C,C_foundational_irl_imitation_learning,"Andrew Y. Ng, Stuart Russell",2000,Algorithms for Inverse Reinforcement Learning,ICML 2000,,,FREE_DIRECT_PDF,https://ai.stanford.edu/~ang/papers/icml00-irl.pdf,https://ai.stanford.edu/~ang/papers/icml00-irl.pdf,C_foundational_irl_imitation_learning/papers/Ng_2000_AlgorithmsIRL.pdf,Ng_2000_AlgorithmsIRL.pdf,Introduces algorithms for recovering reward functions from expert demonstrations.,The foundation. It defines the original IRL problem: infer the reward function that explains observed expert behavior.,B,1
C,C_foundational_irl_imitation_learning,"Pieter Abbeel, Andrew Y. Ng",2004,Apprenticeship Learning via Inverse Reinforcement Learning,ICML 2004,,,FREE_DIRECT_PDF,https://ai.stanford.edu/~ang/papers/icml04-apprentice.pdf,https://ai.stanford.edu/~ang/papers/icml04-apprentice.pdf,C_foundational_irl_imitation_learning/papers/Abbeel_2004_ApprenticeshipLearningIRL.pdf,Abbeel_2004_ApprenticeshipLearningIRL.pdf,Shows how to learn policies from expert demonstrations by matching feature expectations.,Important for imitation from demonstrations. The closest analogue in finance is learning from expert trade trajectories or manager holdings.,B,1
C,C_foundational_irl_imitation_learning,"Brian D. Ziebart, Andrew L. Maas, J. Andrew Bagnell, Anind K. Dey",2008,Maximum Entropy Inverse Reinforcement Learning,AAAI 2008,,,FREE_DIRECT_PDF,https://www.cs.cmu.edu/~bziebart/publications/maxentirl-bziebart.pdf,https://www.cs.cmu.edu/~bziebart/publications/maxentirl-bziebart.pdf,C_foundational_irl_imitation_learning/papers/Ziebart_2008_MaxEntIRL.pdf,Ziebart_2008_MaxEntIRL.pdf,Introduces maximum-entropy formulation for probabilistic reward inference from demonstrations.,Critical because it handles non-unique explanations of behavior by preferring maximum-entropy distributions. Finance needs this because multiple motives can explain the same trade.,"B,E",1
C,C_foundational_irl_imitation_learning,"Deepak Ramachandran, Eyal Amir",2007,Bayesian Inverse Reinforcement Learning,IJCAI 2007,,,FREE_DIRECT_PDF,https://www.ijcai.org/Proceedings/07/Papers/416.pdf,https://www.ijcai.org/Proceedings/07/Papers/416.pdf,C_foundational_irl_imitation_learning/papers/Ramachandran_2007_BayesianIRL.pdf,Ramachandran_2007_BayesianIRL.pdf,Uses Bayesian inference to estimate posterior distributions over reward functions.,A natural fit for markets because reward inference should carry uncertainty. Useful for avoiding overconfident claims about an investor's objective.,B,2
C,C_foundational_irl_imitation_learning,"Jonathan Ho, Stefano Ermon",2016,Generative Adversarial Imitation Learning,NeurIPS / arXiv,,1606.03476,FREE_DIRECT_PDF,https://arxiv.org/abs/1606.03476,https://arxiv.org/pdf/1606.03476,C_foundational_irl_imitation_learning/papers/Ho_2016_GAIL.pdf,Ho_2016_GAIL.pdf,Formulates imitation learning as adversarial training between policy and discriminator.,"The modern imitation-learning anchor. It connects adversarial learning with occupancy-measure matching, useful for trade-sequence imitation.","B,F",1
C,C_foundational_irl_imitation_learning,"Stephane Ross, Geoffrey Gordon, Drew Bagnell",2011,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,AISTATS / PMLR,,,FREE_DIRECT_PDF,https://proceedings.mlr.press/v15/ross11a/ross11a.pdf,https://proceedings.mlr.press/v15/ross11a/ross11a.pdf,C_foundational_irl_imitation_learning/papers/Ross_2011_DAgger.pdf,Ross_2011_DAgger.pdf,Introduces Dataset Aggregation for robust imitation learning under distribution shift.,"DAgger addresses compounding errors from pure behavioral cloning. In trading agents, small early errors compound into very different positions and exposure.","F,G",2
C,C_foundational_irl_imitation_learning,"Chelsea Finn, Sergey Levine, Pieter Abbeel",2016,Guided Cost Learning: Deep Inverse Optimal Control via Policy Optimization,ICML / arXiv,,1603.00448,FREE_DIRECT_PDF,https://arxiv.org/abs/1603.00448,https://arxiv.org/pdf/1603.00448,C_foundational_irl_imitation_learning/papers/Finn_2016_GuidedCostLearning.pdf,Finn_2016_GuidedCostLearning.pdf,Combines cost learning with policy optimization for inverse optimal control.,Useful for high-dimensional reward learning when the cost function is unknown. Good conceptual link to inferring non-linear investor objectives.,"B,F",2
C,C_foundational_irl_imitation_learning,"Justin Fu, Katie Luo, Sergey Levine",2018,Learning Robust Rewards with Adversarial Inverse Reinforcement Learning,ICLR / arXiv,,1710.11248,FREE_DIRECT_PDF,https://arxiv.org/abs/1710.11248,https://arxiv.org/pdf/1710.11248,C_foundational_irl_imitation_learning/papers/Fu_2018_AIRL.pdf,Fu_2018_AIRL.pdf,Introduces adversarial inverse reinforcement learning with more transferable recovered rewards.,"AIRL separates reward recovery from policy imitation more cleanly than vanilla GAIL. That matters if the goal is to infer decision logic, not merely copy behavior.","B,F",2
D,D_model_extraction_black_box_reverse_engineering,"Florian Tramer, Fan Zhang, Ari Juels, Michael K. Reiter, Thomas Ristenpart",2016,Stealing Machine Learning Models via Prediction APIs,USENIX Security / arXiv,,1609.02943,FREE_DIRECT_PDF,https://arxiv.org/abs/1609.02943,https://arxiv.org/pdf/1609.02943,D_model_extraction_black_box_reverse_engineering/papers/Tramer_2016_StealingMLModels.pdf,Tramer_2016_StealingMLModels.pdf,Shows how prediction APIs can leak enough information to reconstruct model behavior.,Foundational model-extraction paper. Relevant as a conceptual analogue to reverse-engineering decision policies from external observable behavior.,"A,F",2
D,D_model_extraction_black_box_reverse_engineering,"Nicolas Papernot, Patrick McDaniel, Ian Goodfellow, Somesh Jha, Z. Berkay Celik, Ananth Grama",2017,Practical Black-Box Attacks against Machine Learning,ACM ASIACCS / arXiv,,1602.02697,FREE_DIRECT_PDF,https://arxiv.org/abs/1602.02697,https://arxiv.org/pdf/1602.02697,D_model_extraction_black_box_reverse_engineering/papers/Papernot_2017_PracticalBlackBoxAttacks.pdf,Papernot_2017_PracticalBlackBoxAttacks.pdf,Develops substitute-model methods for attacking black-box ML systems.,"Important for black-box query learning. In finance, the equivalent is querying/observing reactions and reconstructing latent policies under limited feedback.",F,2
D,D_model_extraction_black_box_reverse_engineering,Nicholas Carlini et al.,2024,Stealing Part of a Production Language Model,arXiv,,2403.06634,FREE_DIRECT_PDF,https://arxiv.org/abs/2403.06634,https://arxiv.org/pdf/2403.06634,D_model_extraction_black_box_reverse_engineering/papers/al_2024_StealingProductionLM.pdf,al_2024_StealingProductionLM.pdf,Demonstrates extraction of part of a production-scale language model under black-box access.,Current-generation model-extraction example. It shows that partial extraction of high-capacity systems can be practical under specific leakage channels.,F,2
D,D_model_extraction_black_box_reverse_engineering,"Kalpesh Krishna, Gaurav Singh Tomar, Ankur P. Parikh, Nicolas Papernot, Mohit Iyyer",2020,Thieves on Sesame Street! Model Extraction of BERT-based APIs,ICLR / arXiv,,1910.12366,FREE_DIRECT_PDF,https://arxiv.org/abs/1910.12366,https://arxiv.org/pdf/1910.12366,D_model_extraction_black_box_reverse_engineering/papers/Krishna_2020_ThievesOnSesameStreet.pdf,Krishna_2020_ThievesOnSesameStreet.pdf,Studies extraction attacks against BERT-based prediction services.,"Useful for NLP/LLM agent settings. It covers extraction of behavior from black-box text APIs, relevant to competitor-agent monitoring.",F,2
D,D_model_extraction_black_box_reverse_engineering,Zi Liang et al.,2024,"Yes, My LoRD: Lower-Dimensional Subspace Discovery for Efficient Model Extraction",arXiv,,2409.02718,FREE_DIRECT_PDF,https://arxiv.org/abs/2409.02718,https://arxiv.org/pdf/2409.02718,D_model_extraction_black_box_reverse_engineering/papers/al_2024_YesMyLoRD.pdf,al_2024_YesMyLoRD.pdf,Proposes lower-dimensional subspace discovery methods for more efficient model extraction.,Recent model-extraction work focused on efficiency. Relevant when the observed system is too expensive to query exhaustively.,F,3
E,E_behavioral_finance_psychometric_inference,"Yanou Ramon, R. A. Farrokhnia, Sandra C. Matz, David Martens",2021,Explainable AI for Psychological Profiling from Financial Transaction Records,Information 12(12):518 / arXiv,,2111.06908,FREE_DIRECT_PDF,https://arxiv.org/abs/2111.06908,https://arxiv.org/pdf/2111.06908,E_behavioral_finance_psychometric_inference/papers/Ramon_2021_PsychProfilingTransactions.pdf,Ramon_2021_PsychProfilingTransactions.pdf,Uses explainable machine learning to infer psychological profiles from financial transaction data.,Not trading-specific but directly relevant to inferring psychological traits from financial records. Useful for thinking about what can and cannot be inferred from transaction traces.,"A,Q",2
E,E_behavioral_finance_psychometric_inference,Robert J. Shiller,2017,Narrative Economics,American Economic Review / NBER Working Paper 23075,10.3386/w23075,,FREE_DIRECT_PDF,https://www.nber.org/papers/w23075,https://www.nber.org/system/files/working_papers/w23075/w23075.pdf,E_behavioral_finance_psychometric_inference/papers/Shiller_2017_NarrativeEconomics.pdf,Shiller_2017_NarrativeEconomics.pdf,Develops a research agenda for studying contagious economic narratives and their market/macroeconomic consequences.,Important for news/story-driven flows. It gives a framework for how narratives can propagate and affect economic decisions.,"P,R,F",2
F,F_llm_trading_agents_multi_agent_orchestration,"Thomas Henning, Siddhartha M. Ojha, Ross Spoon, Jiatong Han, Colin F. Camerer",2025,LLM Trading: Analysis of LLM Agent Behavior in Experimental Asset Markets,arXiv,,2502.15800,FREE_DIRECT_PDF,https://arxiv.org/abs/2502.15800,https://arxiv.org/pdf/2502.15800,F_llm_trading_agents_multi_agent_orchestration/papers/Henning_2025_LLMTradingExperimentalMarkets.pdf,Henning_2025_LLMTradingExperimentalMarkets.pdf,Analyzes how LLM agents behave in controlled experimental asset markets.,"Important because it studies LLM agents as market participants, not just text summarizers. Good for evaluating whether LLM decision behavior is stable under trading incentives.","A,E,P",1
F,F_llm_trading_agents_multi_agent_orchestration,Alejandro Lopez-Lira,2025,Can Large Language Models Trade?,arXiv,,2504.10789,FREE_DIRECT_PDF,https://arxiv.org/abs/2504.10789,https://arxiv.org/pdf/2504.10789,F_llm_trading_agents_multi_agent_orchestration/papers/Lopez_Lira_2025_CanLLMsTrade.pdf,Lopez_Lira_2025_CanLLMsTrade.pdf,Evaluates whether LLMs can generate trading-relevant signals or decisions.,Directly tests the central hype claim. Use it as an empirical checkpoint before building agentic trading systems around LLM reasoning.,"K,O",1
F,F_llm_trading_agents_multi_agent_orchestration,"Ryuji Hashimoto, Takehiro Takayanagi, Masahiro Suzuki, Kiyoshi Izumi",2025,Agent-Based Simulation of a Financial Market with Large Language Model-Based Agents,arXiv,,2510.12189,FREE_DIRECT_PDF,https://arxiv.org/abs/2510.12189,https://arxiv.org/pdf/2510.12189,F_llm_trading_agents_multi_agent_orchestration/papers/Hashimoto_2025_FCLAgentMarketSimulation.pdf,Hashimoto_2025_FCLAgentMarketSimulation.pdf,Builds a financial-market simulation populated by LLM-based agents.,Relevant to market simulation with LLM agents. Useful for separating agent believability from actual alpha.,"R,P",2
F,F_llm_trading_agents_multi_agent_orchestration,Li et al.,2026,Behavioral Consistency Validation for LLM Agents,arXiv,,2602.07023,FREE_DIRECT_PDF,https://arxiv.org/abs/2602.07023,https://arxiv.org/pdf/2602.07023,F_llm_trading_agents_multi_agent_orchestration/papers/al_2026_BehavioralConsistencyLLMAgents.pdf,al_2026_BehavioralConsistencyLLMAgents.pdf,Proposes methods to validate behavioral consistency in LLM agents.,"Critical for production agent systems: a trading agent that changes behavior under prompt perturbation is not a strategy, it is a liability.","C,G",1
F,F_llm_trading_agents_multi_agent_orchestration,Xiao et al.,2024,TradingAgents: Multi-Agents LLM Financial Trading Framework,arXiv,,2412.20138,FREE_DIRECT_PDF,https://arxiv.org/abs/2412.20138,https://arxiv.org/pdf/2412.20138,F_llm_trading_agents_multi_agent_orchestration/papers/al_2024_TradingAgents.pdf,al_2024_TradingAgents.pdf,Presents a multi-agent LLM framework for financial trading analysis and decision-making.,"Representative multi-agent LLM trading framework. Useful as a competitor/architecture reference, not as proof of profitable execution.","G,K",1
F,F_llm_trading_agents_multi_agent_orchestration,"Yang Li, Yangyang Yu, Haohang Li, Zhi Chen, Khaldoun Khashanah",2023,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,arXiv,,2309.03736,FREE_DIRECT_PDF,https://arxiv.org/abs/2309.03736,https://arxiv.org/pdf/2309.03736,F_llm_trading_agents_multi_agent_orchestration/papers/Li_2023_TradingGPT.pdf,Li_2023_TradingGPT.pdf,Uses a multi-agent LLM system with layered memory for financial trading decisions.,Early LLM trading-agent architecture with memory and role separation. Useful as a baseline for what agent frameworks usually overclaim.,G,2
F,F_llm_trading_agents_multi_agent_orchestration,Yu et al.,2023,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,arXiv,,2311.13743,FREE_DIRECT_PDF,https://arxiv.org/abs/2311.13743,https://arxiv.org/pdf/2311.13743,F_llm_trading_agents_multi_agent_orchestration/papers/al_2023_FinMem.pdf,al_2023_FinMem.pdf,Builds a financial trading agent with layered memory mechanisms.,Important memory-based LLM trader reference. Good for comparing retrieval/memory against deterministic feature stores.,G,2
F,F_llm_trading_agents_multi_agent_orchestration,Tauric Research / Xiao et al.,2025,Trading-R1: Financial Trading with LLM Reasoning,arXiv,,2509.11420,FREE_DIRECT_PDF,https://arxiv.org/abs/2509.11420,https://arxiv.org/pdf/2509.11420,F_llm_trading_agents_multi_agent_orchestration/papers/al_2025_TradingR1.pdf,al_2025_TradingR1.pdf,Applies reasoning-oriented LLM methods to trading workflows.,Relevant because reasoning-tuned LLMs are being applied to trading. Treat as experimental until execution-cost and live-trading validation are shown.,"G,K",2
F,F_llm_trading_agents_multi_agent_orchestration,Wang/Xiong et al.,2025,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,arXiv,,2509.09995,FREE_DIRECT_PDF,https://arxiv.org/abs/2509.09995,https://arxiv.org/pdf/2509.09995,F_llm_trading_agents_multi_agent_orchestration/papers/al_2025_QuantAgent.pdf,al_2025_QuantAgent.pdf,Proposes a self-improving LLM agent for quantitative trading tasks.,Useful as a self-improving agent architecture reference. Needs skepticism: self-improvement can easily become overfit backtest search.,"M,G",2
F,F_llm_trading_agents_multi_agent_orchestration,Kou et al.,2024,Automate Strategy Finding with LLM in Quant Investment,arXiv,,2409.06289,FREE_DIRECT_PDF,https://arxiv.org/abs/2409.06289,https://arxiv.org/pdf/2409.06289,F_llm_trading_agents_multi_agent_orchestration/papers/al_2024_AutomateStrategyFindingLLM.pdf,al_2024_AutomateStrategyFindingLLM.pdf,Uses LLMs to automate parts of quantitative strategy discovery.,Directly relevant to automated strategy discovery. Pair with backtest-overfitting papers before trusting any generated strategy.,"M,O",1
F,F_llm_trading_agents_multi_agent_orchestration,Wang et al.,2024,GPT-Signal: Generative AI for Semi-Automatic Feature Engineering in the Alpha Research Process,arXiv,,2410.18448,FREE_DIRECT_PDF,https://arxiv.org/abs/2410.18448,https://arxiv.org/pdf/2410.18448,F_llm_trading_agents_multi_agent_orchestration/papers/al_2024_GPTSignal.pdf,al_2024_GPTSignal.pdf,Uses GPT-style systems to assist feature engineering in alpha research.,High practical relevance: LLMs may be better at feature ideation than autonomous trading. This is closer to a credible alpha-research workflow.,"K,M,O",1
F,F_llm_trading_agents_multi_agent_orchestration,Quan/Ding et al.,2024,Large Language Model Agent in Financial Trading: A Survey,arXiv,,2408.06361,FREE_DIRECT_PDF,https://arxiv.org/abs/2408.06361,https://arxiv.org/pdf/2408.06361,F_llm_trading_agents_multi_agent_orchestration/papers/al_2024_LLMFinancialTradingSurvey.pdf,al_2024_LLMFinancialTradingSurvey.pdf,Surveys LLM-agent systems and tasks in financial trading.,Useful map of the LLM trading-agent literature. Read after the primary papers to avoid swallowing survey framing uncritically.,"G,K",2
F,F_llm_trading_agents_multi_agent_orchestration,"Vidler, Walsh",2024,TraderTalk: Analyzing Large Language Model Behavior in Simulated Financial Markets,arXiv,,2410.21280,FREE_DIRECT_PDF,https://arxiv.org/abs/2410.21280,https://arxiv.org/pdf/2410.21280,F_llm_trading_agents_multi_agent_orchestration/papers/Vidler_2024_TraderTalk.pdf,Vidler_2024_TraderTalk.pdf,Studies LLM behavior and communication in simulated financial markets.,Relevant for observing LLM strategic behavior in simulated markets. Useful for testing whether agent conversations add signal or only narrative.,"P,R",2
F,F_llm_trading_agents_multi_agent_orchestration,"Maria del Rio-Chanona, Marco Pangallo, Cars Hommes",2025,Can Generative AI Agents Behave Like Humans? An Evaluation of Generative AI Agents in Generic Decision-Making Tasks,arXiv,,2505.07457,FREE_DIRECT_PDF,https://arxiv.org/abs/2505.07457,https://arxiv.org/pdf/2505.07457,F_llm_trading_agents_multi_agent_orchestration/papers/Rio_Chanona_2025_GenAIAgentsBehaveHumans.pdf,Rio_Chanona_2025_GenAIAgentsBehaveHumans.pdf,Evaluates generative AI agents on generic human decision-making tasks.,Needed to test whether LLM agents are valid behavioral stand-ins. Market simulations fail if the agents are not behaviorally calibrated.,"P,R,E",2
F,F_llm_trading_agents_multi_agent_orchestration,Joon Sung Park et al.,2023,Generative Agents: Interactive Simulacra of Human Behavior,UIST / arXiv,,2304.03442,FREE_DIRECT_PDF,https://arxiv.org/abs/2304.03442,https://arxiv.org/pdf/2304.03442,F_llm_trading_agents_multi_agent_orchestration/papers/al_2023_GenerativeAgents.pdf,al_2023_GenerativeAgents.pdf,Introduces memory/reflection/planning agents that simulate believable human behavior.,"The general agent-simulation ancestor for many financial agent ideas. Useful for architecture, not financial validity.","P,R",2
G,G_rl_for_trading_portfolio_management,"Peer Nagy, Jan-Peter Calliess, Stefan Zohren",2023,Asynchronous Deep Double Duelling Q-Learning for Trading-Signal Execution in Limit Order Book Markets,arXiv,,2301.08688,FREE_DIRECT_PDF,https://arxiv.org/abs/2301.08688,https://arxiv.org/pdf/2301.08688,G_rl_for_trading_portfolio_management/papers/Nagy_2023_AsyncD3QN_LOBExecution.pdf,Nagy_2023_AsyncD3QN_LOBExecution.pdf,Applies asynchronous double dueling Q-learning to LOB trading-signal execution.,Important because it focuses on execution in LOB markets rather than abstract buy/sell labels. That is closer to real tradability.,"H,N",1
G,G_rl_for_trading_portfolio_management,"Yufei Huang, Junyi Zhou, Di Song",2020,Deep Reinforcement Learning for Portfolio Management,arXiv,,2012.13773,FREE_DIRECT_PDF,https://arxiv.org/abs/2012.13773,https://arxiv.org/pdf/2012.13773,G_rl_for_trading_portfolio_management/papers/Huang_2020_DeepRLPortfolioManagement.pdf,Huang_2020_DeepRLPortfolioManagement.pdf,Applies deep reinforcement learning to portfolio management and allocation.,"Useful portfolio RL baseline. Read as an implementation reference, not a profitability proof.","A,K",2
G,G_rl_for_trading_portfolio_management,"Zhengyao Jiang, Dixing Xu, Jinjun Liang",2017,A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem,arXiv,,1706.10059,FREE_DIRECT_PDF,https://arxiv.org/abs/1706.10059,https://arxiv.org/pdf/1706.10059,G_rl_for_trading_portfolio_management/papers/Jiang_2017_DRLPortfolioFramework.pdf,Jiang_2017_DRLPortfolioFramework.pdf,Builds a deep RL framework for portfolio allocation over multiple assets.,Widely cited RL portfolio framework. Good for understanding the early architecture pattern and its limitations.,K,2
G,G_rl_for_trading_portfolio_management,Michael Janner et al.,2022,Planning with Diffusion for Flexible Behavior Synthesis,ICML / arXiv,,2205.09991,FREE_DIRECT_PDF,https://arxiv.org/abs/2205.09991,https://arxiv.org/pdf/2205.09991,G_rl_for_trading_portfolio_management/papers/al_2022_Diffuser.pdf,al_2022_Diffuser.pdf,Introduces diffusion models as trajectory planners for offline RL/control.,"Not finance-specific, but diffusion planning is relevant for offline policy generation. Could be adapted to execution or portfolio trajectories.","C,F",3
G,G_rl_for_trading_portfolio_management,Anurag Ajay et al.,2023,Is Conditional Generative Modeling all you need for Decision Making?,ICLR / arXiv,,2211.15657,FREE_DIRECT_PDF,https://arxiv.org/abs/2211.15657,https://arxiv.org/pdf/2211.15657,G_rl_for_trading_portfolio_management/papers/al_2023_DecisionDiffuser.pdf,al_2023_DecisionDiffuser.pdf,Uses conditional generative modeling for decision-making trajectories.,Decision Diffuser is relevant to offline decision making from historical trajectories. Finance application requires strict leakage and regime controls.,"C,F",3
G,G_rl_for_trading_portfolio_management,Ding et al.,2024,Diffusion World Models,arXiv,,2402.03570,FREE_DIRECT_PDF,https://arxiv.org/abs/2402.03570,https://arxiv.org/pdf/2402.03570,G_rl_for_trading_portfolio_management/papers/al_2024_DiffusionWorldModels.pdf,al_2024_DiffusionWorldModels.pdf,Combines diffusion modeling with world-model approaches for decision making.,"Useful for model-based RL concepts. For markets, the danger is learning a beautiful world model of stale regimes.","R,F",3
H,H_market_microstructure_lob_execution,"Rama Cont, Arseniy Kukanov, Sasha Stoikov",2014,The Price Impact of Order Book Events,Journal of Financial Econometrics / arXiv,,1011.6402,FREE_DIRECT_PDF,https://arxiv.org/abs/1011.6402,https://arxiv.org/pdf/1011.6402,H_market_microstructure_lob_execution/papers/Cont_2014_PriceImpactOrderBookEvents.pdf,Cont_2014_PriceImpactOrderBookEvents.pdf,Studies how order-book events and order-flow imbalance affect price changes.,Load-bearing microstructure paper. It quantifies order-flow imbalance and price impact better than retail concepts like fair value gaps.,"N,R",1
